"global_index","순번","문제 파일명","정답 파일명","통합사회 1권/2권","대단원","소단원 (자세한)","기존 사탐 범주","내신 난이도 (상,중,하)","정답율%","기출문제 유무 (Y/N)","태그 (쉼표구분)","출처"
"497","83",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","95","Y","경제 체제 유형과 특징","2023년 10월 학평 2번"
"498","84",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","94","Y","경제 체제 유형과 특징","2024학년도 9월 모평 2번"
"499","85",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","95","Y","경제 체제 유형과 특징","2022학년도 9월 모평 1번"
"500","86",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","91","Y","경제 체제 유형과 특징","2021년 3월 학평 4번"
"501","87",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","92","Y","경제 체제 유형과 특징","2024년 4월 학평 2번"
"502","88",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","90","Y","경제 체제 유형과 특징","2022년 3월 학평 6번"
"503","89",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","96","Y","경제 체제 유형과 특징","2022학년도 수능 1번"
"504","90",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","85","Y","경제 체제 유형과 특징","2025학년도 6월 모평 2번"
"505","91",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","82","Y","경제 체제 유형과 특징","2024년 3월 학평 9번"
"506","92",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","89","Y","경제 체제 유형과 특징","2023학년도 6월 모평 2번"
"507","93",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","93","Y","경제 체제 유형과 특징","2021년 10월 학평 4번"
"508","94",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","89","Y","경제 체제 유형과 특징","2021년 7월 학평 3번"
"509","95",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","93","Y","경제 체제 유형과 특징","2021학년도 9월 모평 2번"
"510","96",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","85","Y","경제 체제 유형과 특징","2019년 3월 학평 11번"
"511","97",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","90","Y","경제 체제 유형과 특징","2024년 7월 학평 17번"
"512","98",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","91","Y","경제 체제 유형과 특징","2020년 4월 학평 2번"
"513","99",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","87","Y","경제 체제 유형과 특징","2021학년도 6월 모평 1번"
"514","100",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","93","Y","경제 체제 유형과 특징","2022학년도 6월 모평 4번"
"515","101",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","85","Y","경제 체제 유형과 특징","2020년 10월 학평 17번"
"516","102",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","88","Y","경제 체제 유형과 특징","2023년 3월 학평 2번"
"517","103",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","93","Y","경제 체제 유형과 특징","2021학년도 수능 2번"
"518","104",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","90","Y","경제 체제 유형과 특징","2023학년도 9월 모평 1번"
"519","105",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","89","Y","경제 체제 유형과 특징","2022년 7월 학평 4번"
"520","106",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","92","Y","경제 체제 유형과 특징","2024학년도 6월 모평 2번"
"521","107",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","95","Y","경제 체제 유형과 특징","2025학년도 9월 모평 2번"
"522","108",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","91","Y","경제 체제 유형과 특징","2023년 4월 학평 1번"
"523","109",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","93","Y","경제 체제 유형과 특징","2023년 7월 학평 6번"
"524","110",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","90","Y","경제 체제 유형과 특징","2022년 10월 학평 6월"
"525","111",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","82","Y","경제 체제 유형과 특징","2023학년도 수능 2번"
"526","112",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","69","Y","경제 체제 유형과 특징","2020학년도 9월 모평 6번"
"527","113",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","79","Y","경제 체제 유형과 특징","2022년 4월 학평 1번"
"528","114",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","78","Y","경제 체제 유형과 특징","2020년 7월 학평 2번"
"529","115",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","77","Y","경제 체제 유형과 특징","2019년 10월 학평 6번"
"530","116",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","94","Y","경제 체제 유형과 특징","2024년 10월 학평 2번"
"531","117",,,"통합사회2","시장 경제와 지속가능발전","자본주의의 전개 과정과 경제 체제","경제","하","89","Y","경제 체제 유형과 특징","2025학년도 수능 6번"
"532","118",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","90","Y","정부의  경제적 역할","2021년 4월 학평 6번"
"533","119",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","88","Y","정부의  경제적 역할","2024년 7월 학평 2번"
"534","120",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","81","Y","정부의  경제적 역할","2021학년도 9월 모평 1번"
"535","121",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","60","Y","조세의 분류","2019년 4월 학평 15번"
"536","122",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","75","Y","조세의 분류","2020학년도 9월 모평 3번"
"537","123",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","63","Y","조세의 분류","2020학년도 6월 모평 6번"
"538","124",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","59","Y","조세의 분류","2019년 10월 학평 9번"
"539","125",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","60","Y","조세의 분류","2019년 7월 학평 5번"
"540","126",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","65","Y","조세의 분류","2020년 4월 학평 15번"
"541","127",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","84","Y","조세의 분류","2021년 3월 학평 11번"
"542","128",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","상","27","Y","조세의 분류","2020학년도 수능 17번"
"543","129",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","64","Y","조세의 분류","2020년 10월 학평 10번"
"544","130",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","76","Y","대체재와 보완재","2020년 7월 학평 13번"
"545","131",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","81","Y","대체재와 보완재","2021학년도 6월 모평 3번"
"546","132",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","87","Y","대체재와 보완재","2022학년도 9월 모평 18번"
"547","133",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","77","Y","대체재와 보완재","2019년 3월 학평 7번"
"548","134",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","63","Y","대체재와 보완재","2020년 4월 학평 7번"
"549","135",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","52","Y","대체재와 보완재","2020년 3월 학평 20번"
"550","136",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","65","Y","대체재와 보완재","2023년 7월 학평 18번"
"551","137",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","75","Y","수요의 가격 탄력성","2020학년도 수능 3번"
"552","138",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","상","36","Y","수요의 가격 탄력성","2019년 7월 학평 10번"
"553","139",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","69","Y","수요의 가격 탄력성","2019년 3월 학평 3번"
"554","140",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","71","Y","수요의 가격 탄력성 + 공급의 가격 탄력성","2018년 7월 학평 5번"
"555","141",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","68","Y","수요의 가격 탄력성","2019년 4월 학평 14번"
"556","142",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","65","Y","수요의 가격 탄력성","2019년 10월 학평 4번"
"557","143",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","76","Y","수요의 가격 탄력성","2020학년도 9월 모평 14번"
"558","144",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","60","Y","수요의 가격 탄력성과 판매 수입","2020년 3월 학평 9번"
"559","145",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","68","Y","수요의 가격 탄력성과 판매 수입","2020학년도 9월 모평 19번"
"560","146",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","63","Y","수요의 가격 탄력성과 판매 수입","2020년 4월 학평 10번"
"561","147",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","상","27","Y","수요의 가격 탄력성과 판매 수입","2019학년도 9월 모평 13번"
"562","148",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","71","Y","수요의 가격 탄력성과 판매 수입 + 가격 차별화","2018년 4월 학평 16번"
"563","149",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","79","Y","총잉여(사회적 잉여)","2025학년도 6월 모평 8번"
"564","150",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","72","Y","총잉여(사회적 잉여)","2019년 3월 학평 12번"
"565","151",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","69","Y","총잉여(사회적 잉여)","2021학년도 9월 모평 10번"
"566","152",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","74","Y","가격 규제에 따른 잉여 분석","2025학년도 9월 모평 8번"
"567","153",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","상","32","Y","총잉여(사회적 잉여)","2019년 10월 학평 20번"
"568","154",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","65","Y","가격 규제에 따른 잉여 분석","2023년 4월 학평 13번"
"569","155",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","70","Y","가격 규제에 따른 잉여 분석","2023학년도 9월 모평 9번"
"570","156",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","상","39","Y","총잉여(사회적 잉여)","2022학년도 수능 20번"
"571","157",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","47","Y","가격 규제에 따른 잉여 분석","2020학년도 수능 10번"
"572","158",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","75","Y","가격 규제에 따른 잉여 분석","2023년 3월 학평 14번"
"573","159",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","68","Y","가격 규제에 따른 잉여 분석","2021년 4월 학평 14번"
"574","160",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","62","Y","총잉여(사회적 잉여)","2024학년도 9월 모평 10번"
"575","161",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","64","Y","총잉여(사회적 잉여)","2025학년도 수능 14번"
"576","162",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","92","Y","시장 실패의 의미와 유형","2024년 4월 학평 6번"
"577","163",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","81","Y","시장 실패의 의미와 유형","2020년 3월 학평 8번"
"578","164",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","89","Y","시장 실패의 의미와 유형","2020년 7월 학평 7번"
"579","165",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","48","Y","시장 실패의 의미와 유형","2021학년도 9월 모평 6번"
"580","166",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","66","Y","시장 실패의 의미와 유형","2023학년도 6월 모평 10번"
"581","167",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","86","Y","시장 실패의 의미와 유형","2022년 10월 학평 1번"
"582","168",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","94","Y","시장 실패의 의미와 유형","2021년 4월 학평 2번"
"583","169",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","95","Y","시장 실패의 의미와 유형","2022학년도 6월 모평 1번"
"584","170",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","91","Y","시장 실패의 의미와 유형","2021학년도 수능 3번"
"585","171",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","54","Y","시장 실패의 의미와 유형","2022년 3월 학평 10번"
"586","172",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","63","Y","시장 실패의 의미와 유형","2023년 3월 학평 3번"
"587","173",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","86","Y","시장 실패의 의미와 유형","2025학년도 6월 모평 4번"
"588","174",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","97","Y","시장 실패의 의미와 유형","2024학년도 수능 3번"
"589","175",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","74","Y","외부효과","2025학년도 9월 모평 5번"
"590","176",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","80","Y","외부효과","2021년 3월 학평 10번"
"591","177",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","75","Y","외부효과","2024년 4월 학평 7번"
"592","178",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","66","Y","외부효과","2024년 3월 학평 10번"
"593","179",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","79","Y","외부효과","2019년 7월 학평 6번"
"594","180",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","80","Y","외부효과","2021년 4월 학평 8번"
"595","181",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","53","Y","외부효과","2023년 7월 학평 16번"
"596","182",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","57","Y","외부효과","2022년 3월 학평 3번"
"597","183",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","59","Y","외부효과","2023년 4월 학평 5번"
"598","184",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","72","Y","외부효과","2023학년도 6월 모평 3번"
"599","185",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","70","Y","외부효과","2024학년도 6월 모평 11번"
"600","186",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","54","Y","외부효과","2022년 4월 학평 10번"
"601","187",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","82","Y","외부효과","2022학년도 수능 4번"
"602","188",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","81","Y","외부효과","2021학년도 수능 9번"
"603","189",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","68","Y","외부효과","2021학년도 9월 모평 7번"
"604","190",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","64","Y","외부효과","2021학년도 6월 모평 4번"
"605","191",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","70","Y","외부효과","2023학년도 9월 모평 11번"
"606","192",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","74","Y","외부효과","2023년 10월 학평 11번"
"607","193",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","89","Y","외부효과","2022학년도 9월 모평 4번"
"608","194",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","상","37","Y","외부효과","2020학년도 수능 19번"
"609","195",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","64","Y","외부효과","2021년 7월 학평 17번"
"610","196",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","64","Y","외부효과","2022년 7월 학평 5번"
"611","197",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","59","Y","외부효과","2020년 7월 학평 11번"
"612","198",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","상","35","Y","외부효과","2024년 7월 학평 14번"
"613","199",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","58","Y","외부효과","2020년 3월 학평 4번"
"614","200",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","96","Y","외부효과","2022학년도 수능 3번"
"615","201",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","75","Y","외부효과","2025학년도 6월 모평 5번"
"616","202",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","66","Y","외부효과","2023년 3월 학평 5번"
"617","203",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","68","Y","외부효과","2023학년도 수능 11번"
"618","204",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","72","Y","외부효과","2020년 10월 학평 12번"
"619","205",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","61","Y","외부효과","2021년 10월 학평 15번"
"620","206",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","79","Y","경합성과 배제성","2021년 10월 학평 11번"
"621","207",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","86","Y","경합성과 배제성","2021년 3월 학평 1번"
"622","208",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","68","Y","경합성과 배제성","2021학년도 6월 모평 19번"
"623","209",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","43","Y","경합성과 배제성","2019년 10월 학평 17번"
"624","210",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","58","Y","경합성과 배제성","2021년 7월 학평 9번"
"625","211",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","77","Y","경합성과 배제성","2024년 7월 학평 15번"
"626","212",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","80","Y","경합성과 배제성","2020년 7월 학평 17번"
"627","213",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","60","Y","경합성과 배제성","2020년 10월 학평 19번"
"628","214",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","85","Y","경합성과 배제성","2023학년도 9월 모평 4번"
"629","215",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","79","Y","경합성과 배제성","2024년 3월 학평 11번"
"630","216",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","40","Y","외부효과","2024학년도 수능 5번"
"631","217",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","63","Y","외부효과","2019년 4월 학평 10번"
"632","218",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","73","Y","외부효과","2024학년도 9월 모평 5번"
"633","219",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","56","Y","외부효과","2020학년도 9월 모평 17번"
"634","220",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","84","Y","외부효과","2024년 10월 학평 12번"
"635","221",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","93","Y","경합성과 배제성","2025학년도 수능 2번"
"636","222",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","69","Y","외부효과","2025학년도 수능 5번"
"637","223",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","79","Y","최고가격제","2021년 7월 학평 12번"
"638","224",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","86","Y","최고가격제 + 최저 가격제","2021학년도 수능 4번"
"639","225",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","91","Y","최저가격제","2022학년도 9월 모평 14번"
"640","226",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","64","Y","최고가격제 + 최저 가격제","2023학년도 6월 모평 17번"
"641","227",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","85","Y","최고가격제","2021년 10월 학평 13번"
"642","228",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","75","Y","최고가격제","2024학년도 6월 모평 14번"
"643","229",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","41","Y","최고가격제","2020학년도 9월 모평 8번"
"644","230",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","61","Y","최고가격제","2019년 10월 학평 18번"
"645","231",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","60","Y","최고가격제","2024학년도 9월 모평 9번"
"646","232",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","56","Y","최고가격제 + 최저 가격제","2023학년도 수능 8번"
"647","233",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","상","38","Y","최저가격제","2022년 4월 학평 9번"
"648","234",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","76","Y","최고가격제","2020년 4월 학평 4번"
"649","235",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","73","Y","최고가격제","2020년 10월 학평 9번"
"650","236",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","89","Y","최고가격제","2022학년도 6월 모평 6번"
"651","237",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","73","Y","최저가격제","2022학년도 6월 모평 14번"
"652","238",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","59","Y","최저가격제","2020년 7월 학평 9번"
"653","239",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","상","34","Y","최고가격제","2020학년도 수능 7번"
"654","240",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","70","Y","최고가격제 + 최저 가격제","2021년 3월 학평 13번"
"655","241",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","85","Y","최고가격제 + 최저 가격제","2024년 7월 학평 3번"
"656","242",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","78","Y","최저가격제","2022년 3월 학평 16번"
"657","243",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","60","Y","최고가격제 + 최저 가격제","2022년 7월 학평 13번"
"658","244",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","74","Y","최저가격제","2023년 7월 학평 13번"
"659","245",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","65","Y","최저가격제","2024년 4월 학평 11번"
"660","246",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","82","Y","최고가격제","2020학년도 6월 모평 3번"
"661","247",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","67","Y","최고가격제","2021학년도 6월 모평 9번"
"662","248",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","67","Y","최고가격제","2019년 3월 학평 6번"
"663","249",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","중","52","Y","최저가격제","2019년 7월 학평 14번"
"664","250",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","76","Y","최고가격제 + 최저 가격제","2019년 4월 학평 5번"
"665","251",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","71","Y","최저가격제","2022년 10월 학평 8번"
"666","252",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","60","Y","최고가격제 + 최저 가격제","2024학년도 수능 7번"
"667","253",,,"통합사회2","시장 경제와 지속가능발전","합리적 선택과 경제 주체의 역할","경제","하","88","Y","시장 실패의 개선을 위한 정부의 개입","2024학년도 6월 모평 4번"
